의안ID,의안번호,법률안명,소관위원회,제안일,본회의심의결과,대수,상세페이지,제안자,제안자목록링크,법사위처리일,법사위상정일,법사위회부일,소관위처리결과,소관위처리일,소관위상정일,소관위회부일,의결일,소관위원회ID,공동발의자,법사위처리결과,대표발의자
012102,131436,국회의원선거법중개정법률안,내무위원회,1991-12-16,수정가결,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=012102&ageFrom=13&ageTo=13,김윤환의원등 10인 외 279인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=012102,1991-12-17,1991-12-17,1991-12-17,수정가결,1991-12-17,1991-12-16,1991-12-16,1991-12-17,9700017,"강신옥,강재섭,김원기,박상천,박실,윤재기,이철,장경우,정균환",수정가결,김윤환
012097,131433,교육법중개정법률안,교육체육청소년위원회,1991-12-11,임기만료폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=012097&ageFrom=13&ageTo=13,함종한의원 외 20인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=012097,,,,,,,1991-12-12,1992-05-29,9700027,,,함종한
012099,131432,산업기술교육육성법안,교육체육청소년위원회,1991-12-11,임기만료폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=012099&ageFrom=13&ageTo=13,함종한의원 외 20인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=012099,,,,,,,1991-12-12,1992-05-29,9700027,,,함종한
012096,131430,정치자금에관한법률중개정법률안,내무위원회,1991-12-10,수정가결,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=012096&ageFrom=13&ageTo=13,김윤환의원등 8인 외 211인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=012096,,,1991-12-17,수정가결,1991-12-17,1991-12-16,1991-12-10,1991-12-17,9700017,"강신옥,강재섭,강재섭,오한구,윤재기,이자헌,장경우",,김윤환
012095,131429,국회의원선거법중개정법률안,내무위원회,1991-12-10,임기만료폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=012095&ageFrom=13&ageTo=13,김윤환의원등 8인 외 211인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=012095,,,,,,,1991-12-10,1992-05-29,9700017,"강신옥,강재섭,강재섭,오한구,윤재기,이자헌,장경우",,김윤환
012086,131422,한국종합기술금융주식회사법안,경제과학위원회,1991-11-21,원안가결,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=012086&ageFrom=13&ageTo=13,문희갑의원 외 30인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=012086,1991-12-17,,1991-11-27,원안가결,1991-11-27,1991-11-25,1991-11-22,1991-12-17,9700014,,심사미료,문희갑
012087,131421,제주도개발특별법안,건설위원회,1991-11-21,원안가결,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=012087&ageFrom=13&ageTo=13,강보성의원등 3인 외 19인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=012087,1991-12-17,,1991-11-26,원안가결,1991-11-26,1991-11-26,1991-11-22,1991-12-18,9700044,"고세진,이기빈",심사미료,강보성
012085,131420,고령자고용촉진법안,노동위원회,1991-11-21,수정가결,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=012085&ageFrom=13&ageTo=13,이인제의원등 2인 외 21인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=012085,1991-12-10,1991-12-10,1991-12-09,수정가결,1991-12-09,1991-12-04,1991-11-22,1991-12-16,9700039,김병룡,원안가결,이인제
012088,131419,지방교육자치에관한법률중개정법률안,교육체육청소년위원회,1991-11-21,수정가결,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=012088&ageFrom=13&ageTo=13,함종한의원 외 20인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=012088,1991-11-29,1991-11-29,1991-11-27,수정가결,1991-11-27,1991-11-25,1991-11-22,1991-12-17,9700027,,원안가결,함종한
012083,131418,지방자치법중개정법률안,내무위원회,1991-11-20,원안가결,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=012083&ageFrom=13&ageTo=13,강우혁의원 외 21인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=012083,1991-12-17,,1991-11-27,원안가결,1991-11-26,1991-11-26,1991-11-22,1991-12-17,9700017,,심사미료,강우혁
