의안ID,의안번호,법률안명,소관위원회,제안일,본회의심의결과,대수,상세페이지,제안자,제안자목록링크,법사위처리일,법사위상정일,법사위회부일,소관위처리결과,소관위처리일,소관위상정일,소관위회부일,의결일,소관위원회ID,공동발의자,법사위처리결과,대표발의자
013541,141436,접경지역개발지원에관한특례법안,통일외무위원회,1996-02-05,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013541&ageFrom=14&ageTo=14,이한동의원등 6인 외 22인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013541,,,,,,,1996-02-09,1996-05-29,9700015,"김두섭,박명근,서정화,이용삼,정재철",,이한동
013537,141432,정부조직법중개정법률안,행정위원회,1996-01-16,폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013537&ageFrom=14&ageTo=14,손세일의원등 5인 외 60인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013537,,,,폐기,1996-01-26,1996-01-26,1996-01-25,1996-01-27,9700007,"강철선,권노갑,김덕규,문희상",,손세일
013536,141431,정보공개법안,행정위원회,1996-01-09,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013536&ageFrom=14&ageTo=14,김덕규의원등 5인 외 60인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013536,,,,,,,1996-01-09,1996-05-29,9700007,"강철선,권노갑,문희상,손세일",,김덕규
013516,141412,휴·폐광산광해방지법안,통상산업위원회,1995-12-15,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013516&ageFrom=14&ageTo=14,박세직의원 외 19인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013516,,,,,,,1995-12-15,1996-05-29,9700031,,,박세직
013515,141411,후천성면역결핍증예방법중개정법률안,보건복지위원회,1995-12-13,원안가결,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013515&ageFrom=14&ageTo=14,주양자의원등 4인 외 17인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013515,1995-12-18,1995-12-18,1995-12-14,원안가결,1995-12-14,1995-12-14,1995-12-13,1995-12-18,9700041,"박상천,박상천,송두호",수정가결,주양자
013514,141410,남녀평등기본법안,행정위원회,1995-12-09,대안반영폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013514&ageFrom=14&ageTo=14,손세일의원등 7인 외 58인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013514,,,,대안반영폐기,1995-12-19,1995-12-12,1995-12-09,1995-12-19,9700007,"강철선,권노갑,김덕규,문희상,이우정,조세형",,손세일
013513,141409,전력기술관리법안,통상산업위원회,1995-12-08,원안가결,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013513&ageFrom=14&ageTo=14,성무용의원등 2인 외 24인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013513,1995-12-18,1995-12-18,1995-12-14,원안가결,1995-12-14,1995-12-14,1995-12-09,1995-12-18,9700031,안동선,수정가결,성무용
013512,141408,헌정질서파괴범죄의공소시효등에관한특례법안,법제사법위원회,1995-12-07,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013512&ageFrom=14&ageTo=14,현경대의원등 5인 외 106인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013512,,,,,,,1995-12-07,1996-05-29,9700006,"강신옥,박헌기,변정일,정시채",,현경대
013511,141407,여성발전기본법안,행정위원회,1995-12-06,대안반영폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013511&ageFrom=14&ageTo=14,주양자의원등 3인 외 20인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013511,,,,대안반영폐기,1995-12-19,1995-12-12,1995-12-07,1995-12-19,9700007,"강선영,정옥순",,주양자
013502,141389,"5·18사건및""92년대선자금수사를위한특별검사의임명에관한법률안",법제사법위원회,1995-12-01,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013502&ageFrom=14&ageTo=14,유수호의원등 2인 외 23인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013502,,,,,,,1995-12-02,1996-05-29,9700006,함석재,,유수호
