의안ID,의안번호,법률안명,소관위원회,제안일,본회의심의결과,대수,상세페이지,제안자,제안자목록링크,법사위처리일,법사위상정일,법사위회부일,소관위처리결과,소관위처리일,소관위상정일,소관위회부일,의결일,소관위원회ID,공동발의자,법사위처리결과,대표발의자
016114,152569,미용사법안,보건복지위원회,2000-02-24,임기만료폐기,15,http://likms.assembly.go.kr/bill/billDetail.do?billId=016114&ageFrom=15&ageTo=15,조성준의원 외 19인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=016114,,,,,,,2000-03-15,2000-05-29,9700041,,,조성준
016108,152564,공직선거및선거부정방지법중개정법률안,,2000-01-31,수정가결,15,http://likms.assembly.go.kr/bill/billDetail.do?billId=016108&ageFrom=15&ageTo=15,박상천의원등 3인 외 100인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=016108,,,,,,,,2000-02-08,,,,박상천
016099,152557,국회에서의증언·감정등에관한법률중개정법률안,,2000-01-15,원안가결,15,http://likms.assembly.go.kr/bill/billDetail.do?billId=016099&ageFrom=15&ageTo=15,박상천의원등 27인 외 257인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=016099,,,,심사미료,,,,2000-02-09,,"권오을,김동주,김영진,김종호,김학원,노기태,박광태,박성범,박주천,백승홍,변정일,설훈,송훈석,신기남,신영국,안동선,유선호,이규택,이긍규,이부영,이사철,이상수,정의화,정형근,천정배,허남훈",,박상천
016100,152556,국정감사및조사에관한법률중개정법률안,,2000-01-15,원안가결,15,http://likms.assembly.go.kr/bill/billDetail.do?billId=016100&ageFrom=15&ageTo=15,박상천의원등 27인 외 257인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=016100,,,,심사미료,,,,2000-02-09,,"권오을,김동주,김영진,김종호,김학원,노기태,박광태,박성범,박주천,백승홍,변정일,설훈,송훈석,신기남,신영국,안동선,유선호,이규택,이긍규,이부영,이사철,이상수,정의화,정형근,천정배,허남훈",,박상천
016101,152555,국회법중개정법률안,국회운영위원회,2000-01-15,수정가결,15,http://likms.assembly.go.kr/bill/billDetail.do?billId=016101&ageFrom=15&ageTo=15,박상천의원등 27인 외 257인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=016101,,,,심사미료,,,2000-01-15,2000-02-09,9700005,"권오을,김동주,김영진,김종호,김학원,노기태,박광태,박성범,박주천,백승홍,변정일,설훈,송훈석,신기남,신영국,안동선,유선호,이규택,이긍규,이부영,이사철,이상수,정의화,정형근,천정배,허남훈",,박상천
016111,152554,정치자금에관한법률중개정법률안,,2000-01-15,수정가결,15,http://likms.assembly.go.kr/bill/billDetail.do?billId=016111&ageFrom=15&ageTo=15,안동선의원등 24인 외 260인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=016111,,,,심사미료,,,,2000-02-09,,"권오을,김동주,김영진,김종호,김학원,노기태,박광태,박성범,박주천,백승홍,변정일,설훈,송훈석,신기남,신영국,유선호,이규택,이사철,이상수,정의화,정형근,천정배,허남훈",,안동선
016110,152553,정당법중개정법률안,행정자치위원회,2000-01-15,수정가결,15,http://likms.assembly.go.kr/bill/billDetail.do?billId=016110&ageFrom=15&ageTo=15,안동선의원등 24인 외 260인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=016110,,,,,,,2000-01-15,2000-02-09,9700018,"권오을,김동주,김영진,김종호,김학원,노기태,박광태,박성범,박주천,백승홍,변정일,설훈,송훈석,신기남,신영국,유선호,이규택,이사철,이상수,정의화,정형근,천정배,허남훈",,안동선
016098,152552,공직선거및선거부정방지법중개정법률안,,2000-01-15,임기만료폐기,15,http://likms.assembly.go.kr/bill/billDetail.do?billId=016098&ageFrom=15&ageTo=15,박상천의원등 6인 외 148인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=016098,,,,,,,,2000-05-29,,"김학원,이긍규,이상수,임채정,차수명",,박상천
016095,152551,다이옥신대책특별조치법안,환경노동위원회,2000-01-14,임기만료폐기,15,http://likms.assembly.go.kr/bill/billDetail.do?billId=016095&ageFrom=15&ageTo=15,김충일의원 외 46인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=016095,,,,,,,2000-01-15,2000-05-29,9700038,,,김충일
016087,152542,시민교육진흥법안,정무위원회,2000-01-03,임기만료폐기,15,http://likms.assembly.go.kr/bill/billDetail.do?billId=016087&ageFrom=15&ageTo=15,김찬진의원등 5인 외 29인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=016087,,,,,,,2000-01-03,2000-05-29,9700008,"김충일,류종수,맹형규,서정화",,김찬진
