의안ID,의안번호,법률안명,소관위원회,제안일,본회의심의결과,대수,상세페이지,제안자,제안자목록링크,법사위처리일,법사위상정일,법사위회부일,소관위처리결과,소관위처리일,소관위상정일,소관위회부일,의결일,소관위원회ID,공동발의자,법사위처리결과,대표발의자
027868,163170,경기북도설치등에관한법률안,행정자치위원회,2004-03-03,임기만료폐기,16,http://likms.assembly.go.kr/bill/billDetail.do?billId=027868&ageFrom=16&ageTo=16,홍문종의원등 20인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=027868,,,,,,,2004-03-04,2004-05-29,9700018,"강인섭,권영세,김황식,목요상,박상규,박진,박혁규,양정규,오경훈,오세훈,윤경식,윤한도,이근진,이병석,이재오,임인배,전용원,조정무,허태열",,홍문종
027864,163167,국립치매센터건립에관한법률안,보건복지위원회,2004-03-02,임기만료폐기,16,http://likms.assembly.go.kr/bill/billDetail.do?billId=027864&ageFrom=16&ageTo=16,오경훈의원등 23인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=027864,,,,,,,2004-03-03,2004-05-29,9700041,"권영세,권오을,김영춘,김용학,김진재,김학송,맹형규,박진,박혁규,서상섭,오세훈,원희룡,윤경식,윤여준,이부영,이승철,전재희,정병국,정의화,정진석,홍문종,황우여",,오경훈
027837,163149,국민건강보험법중개정법률안,보건복지위원회,2004-02-23,임기만료폐기,16,http://likms.assembly.go.kr/bill/billDetail.do?billId=027837&ageFrom=16&ageTo=16,오경훈의원등 11인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=027837,,,,,,,2004-02-24,2004-05-29,9700041,"김광원,김명섭,도종이,박시균,안경률,원희룡,윤두환,윤한도,이용삼,이해봉",,오경훈
027836,163148,국회법중개정법률안,국회운영위원회,2004-02-23,임기만료폐기,16,http://likms.assembly.go.kr/bill/billDetail.do?billId=027836&ageFrom=16&ageTo=16,오경훈의원등 12인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=027836,,,,임기만료폐기,2004-05-29,,2004-02-24,2004-05-29,9700005,"김광원,김명섭,도종이,박시균,안경률,원희룡,윤두환,윤한도,이용삼,이해봉,정갑윤",,오경훈
027835,163147,공공기관의개인정보보호에관한법률중개정법률안,행정자치위원회,2004-02-21,임기만료폐기,16,http://likms.assembly.go.kr/bill/billDetail.do?billId=027835&ageFrom=16&ageTo=16,정진석의원등 11인 외 1인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=027835,,,,,,,2004-02-23,2004-05-29,9700018,"강창희,김종필,김학원,박승국,이규택,이원성,이재오,정우택,최병국,한충수",,정진석
027834,163146,방송법중개정법률안,문화관광위원회,2004-02-21,임기만료폐기,16,http://likms.assembly.go.kr/bill/billDetail.do?billId=027834&ageFrom=16&ageTo=16,정진석의원등 11인 외 1인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=027834,,,,,,,2004-02-23,2004-05-29,9700024,"강창희,김종필,김학원,박승국,이규택,이원성,이재오,정우택,최병국,한충수",,정진석
027833,163145,친일반민족행위자재산의환수에관한특별법안,법제사법위원회,2004-02-18,임기만료폐기,16,http://likms.assembly.go.kr/bill/billDetail.do?billId=027833&ageFrom=16&ageTo=16,최용규의원등 55인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=027833,,,,,,,2004-02-26,2004-05-29,9700006,"김근태,김덕규,김덕배,김명섭,김부겸,김성호,김영춘,김용균,김원기,김원웅,김충조,김태홍,김택기,김희선,남궁석,맹형규,문석호,박병석,박시균,박혁규,서상섭,설훈,송광호,송석찬,송영길,신기남,신현태,오경훈,오세훈,원유철,유시민,유재건,이강래,이부영,이우재,이원성,이종걸,이창복,이해봉,이해찬,이호웅,이희규,임채정,장영달,정동영,정동채,정세균,정장선,조한천,천용택,천정배,최연희,황우여,황창주",,최용규
027832,163144,국가배상법중개정법률안,법제사법위원회,2004-02-17,임기만료폐기,16,http://likms.assembly.go.kr/bill/billDetail.do?billId=027832&ageFrom=16&ageTo=16,권오을의원등 11인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=027832,,,,,,,2004-02-19,2004-05-29,9700006,"권기술,김정숙,박명환,박시균,서청원,손희정,안상수,장성원,주진우,황창주",,권오을
027831,163143,지방공무원법중개정법률안,행정자치위원회,2004-02-17,임기만료폐기,16,http://likms.assembly.go.kr/bill/billDetail.do?billId=027831&ageFrom=16&ageTo=16,전갑길의원등 10인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=027831,,,,,,,2004-02-19,2004-05-29,9700018,"고진부,배기운,유재건,이강래,이낙연,이정일,정범구,정철기,최선영",,전갑길
027830,163142,국가공무원법중개정법률안,행정자치위원회,2004-02-17,임기만료폐기,16,http://likms.assembly.go.kr/bill/billDetail.do?billId=027830&ageFrom=16&ageTo=16,전갑길의원등 10인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=027830,,,,,,,2004-02-19,2004-05-29,9700018,"고진부,배기운,유재건,이강래,이낙연,이정일,정범구,정철기,최선영",,전갑길
