의안ID,의안번호,법률안명,소관위원회,제안일,본회의심의결과,대수,상세페이지,제안자,제안자목록링크,법사위처리일,법사위상정일,법사위회부일,소관위처리결과,소관위처리일,소관위상정일,소관위회부일,의결일,소관위원회ID,공동발의자,법사위처리결과,대표발의자
PRC_W0J8K0T5V2C3F1B4Z3R7B1G0C8A8S2,178368,소해면상뇌증 예방에 관한 특별법안,농림해양수산위원회,2008-05-23,임기만료폐기,17,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W0J8K0T5V2C3F1B4Z3R7B1G0C8A8S2&ageFrom=17&ageTo=17,유승희의원등 22인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_W0J8K0T5V2C3F1B4Z3R7B1G0C8A8S2,,,,,,,2008-05-26,2008-05-29,9700029,"강기갑,강혜숙,김우남,김재윤,김춘진,김태홍,노영민,문학진,변재일,선병렬,이기우,이영순,임종인,장복심,정청래,조정식,채일병,최순영,최철국,한명숙,현애자",,유승희
PRC_W0H8L0Y5M1H6E1R6H3T4V2G4C4Q2L4,178357,가축전염병예방법 일부개정법률안,농림해양수산위원회,2008-05-16,임기만료폐기,17,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W0H8L0Y5M1H6E1R6H3T4V2G4C4Q2L4&ageFrom=17&ageTo=17,김효석의원 외 135인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_W0H8L0Y5M1H6E1R6H3T4V2G4C4Q2L4,,,,,,,2008-05-16,2008-05-29,9700029,,,김효석
PRC_K0X8C0T5T1Y5H1L7Q4H4R4B8S1J5M3,178351,성폭력범죄의 처벌 및 피해자보호 등에 관한 법률 일부개정법률안,법제사법위원회,2008-05-15,대안반영폐기,17,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K0X8C0T5T1Y5H1L7Q4H4R4B8S1J5M3&ageFrom=17&ageTo=17,이종걸의원등 10인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K0X8C0T5T1Y5H1L7Q4H4R4B8S1J5M3,,,,대안반영폐기,2008-05-21,2008-05-21,2008-05-16,2008-05-22,9700006,"류근찬,변재일,서혜석,양승조,염동연,유승희,이석현,천정배,홍재형",,이종걸
PRC_I0S8W0I5M1N4H1B9I3Y8K1Z1G6F1T3,178350,성폭력범죄의 처벌 및 피해자보호 등에 관한 법률 일부개정법률안,법제사법위원회,2008-05-14,대안반영폐기,17,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I0S8W0I5M1N4H1B9I3Y8K1Z1G6F1T3&ageFrom=17&ageTo=17,최인기의원등 11인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_I0S8W0I5M1N4H1B9I3Y8K1Z1G6F1T3,,,,대안반영폐기,2008-05-21,2008-05-21,2008-05-15,2008-05-22,9700006,"강기정,김재윤,김효석,문학진,선병렬,우제창,이낙연,이원영,장영달,최재성",,최인기
PRC_P0J8O0I5N1G3X1H8X0X1U4U1A7W0K1,178348,광우병위험 쇠고기의 수입 및 유통제한 등에 관한 특별법안,농림해양수산위원회,2008-05-13,임기만료폐기,17,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P0J8O0I5N1G3X1H8X0X1U4U1A7W0K1&ageFrom=17&ageTo=17,강기갑의원등 24인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_P0J8O0I5N1G3X1H8X0X1U4U1A7W0K1,,,,,,,2008-05-14,2008-05-29,9700029,"강창일,권영길,김우남,김재윤,김종률,김태홍,변재일,신기남,이광철,이낙연,이영순,이용희,임종인,제종길,조배숙,조성래,채일병,천영세,최규성,최순영,최인기,한병도,현애자",,강기갑
PRC_Y0O8D0W5E0I9Q1E5C1R5M2P5B4O6W4,178347,가축전염병예방법 일부개정법률안,농림해양수산위원회,2008-05-09,임기만료폐기,17,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y0O8D0W5E0I9Q1E5C1R5M2P5B4O6W4&ageFrom=17&ageTo=17,최성의원등 12인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Y0O8D0W5E0I9Q1E5C1R5M2P5B4O6W4,,,,,,,2008-05-13,2008-05-29,9700029,"강혜숙,김현미,노웅래,노현송,문학진,신명,이상경,이은영,정성호,정청래,천정배",,최성
PRC_Q0H8E0E5Z0R8O1K7W0H7E0J4N6B8F5,178346,국회법 일부개정법률안,국회운영위원회,2008-05-08,임기만료폐기,17,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q0H8E0E5Z0R8O1K7W0H7E0J4N6B8F5&ageFrom=17&ageTo=17,신명의원등 10인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q0H8E0E5Z0R8O1K7W0H7E0J4N6B8F5,,,,,,,2008-05-09,2008-05-29,9700005,"김덕규,김재윤,노웅래,윤원호,이경숙,이목희,이미경,장복심,조성래",,신명
PRC_H0H8N0X5D0Q8O1K6C5G8L1F8Q5S1I3,178345,특별법의 입법절차에 관한 법률안,국회운영위원회,2008-05-08,임기만료폐기,17,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H0H8N0X5D0Q8O1K6C5G8L1F8Q5S1I3&ageFrom=17&ageTo=17,신명의원등 10인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_H0H8N0X5D0Q8O1K6C5G8L1F8Q5S1I3,,,,,,,2008-05-09,2008-05-29,9700005,"김덕규,김재윤,노웅래,윤원호,이목희,이미경,장복심,제종길,조성래",,신명
PRC_H0J8E0O5Z0F7T1F7O2E2E2T0J4O1W4,178343,정부조직법 일부개정법률안,행정자치위원회,2008-05-07,임기만료폐기,17,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H0J8E0O5Z0F7T1F7O2E2E2T0J4O1W4&ageFrom=17&ageTo=17,이영호의원등 11인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_H0J8E0O5Z0F7T1F7O2E2E2T0J4O1W4,,,,,,,2008-05-09,2008-05-29,9700018,"김동철,김우남,김태홍,노영민,서갑원,신명,양형일,이낙연,정장선,채일병",,이영호
PRC_C0Y8Y0C4R2Y5U1G7M5O4F3P7G5X1F9,178340,지방교육자치에 관한 법률 일부개정법률안,교육위원회,2008-04-25,철회,17,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C0Y8Y0C4R2Y5U1G7M5O4F3P7G5X1F9&ageFrom=17&ageTo=17,임해규의원등 10인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_C0Y8Y0C4R2Y5U1G7M5O4F3P7G5X1F9,,,,철회,,,2008-04-28,2008-05-09,9700021,"고경화,박형준,서상기,이군현,정두언,정병국,주호영,진수희,진영",,임해규
