대수,국회의원코드,국회의원명,의안ID,의안번호,대표발의
제13대,PMN7940F,김윤환,012102,131436,true
제13대,1KZ38436,강신옥,012102,131436,false
제13대,IU67432G,강재섭,012102,131436,false
제13대,4RF2451S,김원기,012102,131436,false
제13대,MHE1145A,박상천,012102,131436,false
제13대,1O451032,박실,012102,131436,false
제13대,RSE1582E,윤재기,012102,131436,false
제13대,9X386624,이철,012102,131436,false
제13대,3W52243S,장경우,012102,131436,false
제13대,2PO2218L,정균환,012102,131436,false
제13대,2XE5489Z,함종한,012097,131433,true
제13대,2XE5489Z,함종한,012099,131432,true
제13대,PMN7940F,김윤환,012096,131430,true
제13대,1KZ38436,강신옥,012096,131430,false
제13대,IU67432G,강재섭,012096,131430,false
제13대,IU67432G,강재섭,012096,131430,false
제13대,Y771224V,오한구,012096,131430,false
제13대,RSE1582E,윤재기,012096,131430,false
제13대,A5I4284G,이자헌,012096,131430,false
제13대,3W52243S,장경우,012096,131430,false
제13대,PMN7940F,김윤환,012095,131429,true
제13대,1KZ38436,강신옥,012095,131429,false
제13대,IU67432G,강재섭,012095,131429,false
제13대,IU67432G,강재섭,012095,131429,false
제13대,Y771224V,오한구,012095,131429,false
제13대,RSE1582E,윤재기,012095,131429,false
제13대,A5I4284G,이자헌,012095,131429,false
제13대,3W52243S,장경우,012095,131429,false
제13대,L975540P,문희갑,012086,131422,true
제13대,XF75222M,강보성,012087,131421,true
제13대,U629070R,고세진,012087,131421,false
제13대,H679074W,이기빈,012087,131421,false
제13대,HJI9845B,이인제,012085,131420,true
제13대,2XE5489Z,함종한,012088,131419,true
제13대,GZS38403,강우혁,012083,131418,true
제13대,3JJ23576,김진영,012082,131417,true
제13대,HBO3666Q,윤길중,012077,131411,true
제13대,LNJ8027O,강금식,012073,131410,false
제13대,ERX2058H,김충조,012073,131410,false
제13대,CFP75167,박형오,012073,131410,false
제13대,HIT2733V,이영권,012073,131410,false
제13대,ZM57890S,이찬구,012073,131410,false
제13대,2PO2218L,정균환,012073,131410,false
제13대,7GJ2564V,최락도,012073,131410,false
제13대,DWY2922R,최봉구,012073,131410,false
제13대,J9B7924I,허탁,012073,131410,false
제13대,U2584716,김근수,012074,131406,true
제13대,GZS38403,강우혁,012067,131403,true
제13대,ALM3369J,신재기,012070,131399,true
제13대,N8Y13552,박태권,012071,131398,true
제13대,BHU7979V,지연태,012071,131398,false
제13대,5SH5466E,최기선,012008,131344,true
제13대,GZS38403,강우혁,012009,131343,true
제13대,U2584716,김근수,012007,131341,true
제13대,K4I9530L,김제태,012001,131336,true
제13대,LNJ8027O,강금식,011999,131334,false
제13대,ERX2058H,김충조,011999,131334,false
제13대,HIT2733V,이영권,011999,131334,false
제13대,ZM57890S,이찬구,011999,131334,false
제13대,2PO2218L,정균환,011999,131334,false
제13대,7GJ2564V,최락도,011999,131334,false
제13대,DWY2922R,최봉구,011999,131334,false
제13대,J9B7924I,허탁,011999,131334,false
제13대,LNJ8027O,강금식,011991,131332,true
제13대,ERX2058H,김충조,011991,131332,false
제13대,HIT2733V,이영권,011991,131332,false
제13대,ZM57890S,이찬구,011991,131332,false
제13대,2PO2218L,정균환,011991,131332,false
제13대,DWY2922R,최봉구,011991,131332,false
제13대,J9B7924I,허탁,011991,131332,false
제13대,LNJ8027O,강금식,011995,131331,false
제13대,NS38910H,김봉욱,011995,131331,false
제13대,CKS9642T,이경재,011995,131331,false
제13대,EWB4602W,임춘원,011995,131331,false
제13대,8DK5346K,허경만,011995,131331,false
제13대,9U97658K,홍영기,011995,131331,false
제13대,LNJ8027O,강금식,011996,131330,false
제13대,NS38910H,김봉욱,011996,131330,false
제13대,CKS9642T,이경재,011996,131330,false
제13대,EWB4602W,임춘원,011996,131330,false
제13대,8DK5346K,허경만,011996,131330,false
제13대,9U97658K,홍영기,011996,131330,false
제13대,LNJ8027O,강금식,011994,131329,false
제13대,NS38910H,김봉욱,011994,131329,false
제13대,CKS9642T,이경재,011994,131329,false
제13대,EWB4602W,임춘원,011994,131329,false
제13대,8DK5346K,허경만,011994,131329,false
제13대,9U97658K,홍영기,011994,131329,false
제13대,LNJ8027O,강금식,011993,131328,false
제13대,NS38910H,김봉욱,011993,131328,false
제13대,CKS9642T,이경재,011993,131328,false
제13대,EWB4602W,임춘원,011993,131328,false
제13대,8DK5346K,허경만,011993,131328,false
제13대,9U97658K,홍영기,011993,131328,false
제13대,LNJ8027O,강금식,011998,131327,false
제13대,NS38910H,김봉욱,011998,131327,false
제13대,CKS9642T,이경재,011998,131327,false
제13대,EWB4602W,임춘원,011998,131327,false
제13대,8DK5346K,허경만,011998,131327,false
제13대,9U97658K,홍영기,011998,131327,false
제13대,LNJ8027O,강금식,011997,131326,false
제13대,NS38910H,김봉욱,011997,131326,false
제13대,CKS9642T,이경재,011997,131326,false
제13대,EWB4602W,임춘원,011997,131326,false
제13대,8DK5346K,허경만,011997,131326,false
제13대,9U97658K,홍영기,011997,131326,false
제13대,LNJ8027O,강금식,011992,131325,false
제13대,NS38910H,김봉욱,011992,131325,false
제13대,CKS9642T,이경재,011992,131325,false
제13대,EWB4602W,임춘원,011992,131325,false
제13대,8DK5346K,허경만,011992,131325,false
제13대,9U97658K,홍영기,011992,131325,false
제13대,BCO6264C,김영진,011985,131323,false
제13대,BCO6264C,김영진,011985,131323,false
제13대,2VF5648T,노무현,011985,131323,false
제13대,CFP75167,박형오,011985,131323,false
제13대,4D37702V,이재근,011985,131323,false
제13대,SW948730,이형배,011985,131323,false
제13대,GXC8936S,이희천,011985,131323,false
제13대,U2584716,김근수,011978,131312,true
제13대,GZS38403,강우혁,011977,131311,true
제13대,CAX57348,박영숙,011972,131307,true
제13대,ERX2058H,김충조,011972,131307,false
제13대,WPW4909K,이돈만,011972,131307,false
제13대,8L08506K,정기영,011972,131307,false
제13대,OJJ2363Y,문동환,011971,131305,false
제13대,1O451032,박실,011971,131305,false
제13대,66U24346,이수인,011971,131305,false
제13대,RAU77180,조순승,011971,131305,false
제13대,95S94954,최재욱,011934,131268,true
제13대,R3D8899N,조홍규,011934,131268,false
제13대,KD636919,최무룡,011934,131268,false
제13대,5637263F,신상우,011902,131237,true
제13대,5W34729L,이상수,011887,131220,true
제13대,ERX2058H,김충조,011887,131220,false
제13대,HIT2733V,이영권,011887,131220,false
제13대,ZM57890S,이찬구,011887,131220,false
제13대,2PO2218L,정균환,011887,131220,false
제13대,7GJ2564V,최락도,011887,131220,false
제13대,DWY2922R,최봉구,011887,131220,false
제13대,5W34729L,이상수,011886,131219,true
제13대,ERX2058H,김충조,011886,131219,false
제13대,HIT2733V,이영권,011886,131219,false
제13대,ZM57890S,이찬구,011886,131219,false
제13대,2PO2218L,정균환,011886,131219,false
제13대,7GJ2564V,최락도,011886,131219,false
제13대,DWY2922R,최봉구,011886,131219,false
제13대,7GJ2564V,최락도,011883,131217,true
제13대,7GJ2564V,최락도,011882,131216,true
제13대,8L08506K,정기영,011873,131207,true
제13대,CAX57348,박영숙,011873,131207,false
제13대,48S5387Y,이철용,011873,131207,false
제13대,ACT1860R,조세형,011873,131207,false
제13대,OQ09860C,김종호,011860,131194,true
제13대,KDB6892X,김덕규,011860,131194,false
제13대,Y2W9921H,김영배,011860,131194,false
