대수,국회의원코드,국회의원명,의안ID,의안번호,대표발의
제14대,NUX49887,이한동,013541,141436,true
제14대,FE487737,김두섭,013541,141436,false
제14대,T457000V,박명근,013541,141436,false
제14대,GBP60233,이용삼,013541,141436,false
제14대,KXY6183K,정재철,013541,141436,false
제14대,EBP9450V,강철선,013537,141432,false
제14대,T1Z9579M,권노갑,013537,141432,false
제14대,KDB6892X,김덕규,013537,141432,false
제14대,IYD4143Y,문희상,013537,141432,false
제14대,KDB6892X,김덕규,013536,141431,true
제14대,EBP9450V,강철선,013536,141431,false
제14대,T1Z9579M,권노갑,013536,141431,false
제14대,IYD4143Y,문희상,013536,141431,false
제14대,HIS36307,박세직,013516,141412,true
제14대,RF233621,주양자,013515,141411,true
제14대,MHE1145A,박상천,013515,141411,false
제14대,MHE1145A,박상천,013515,141411,false
제14대,6Z125924,송두호,013515,141411,false
제14대,EBP9450V,강철선,013514,141410,false
제14대,T1Z9579M,권노갑,013514,141410,false
제14대,KDB6892X,김덕규,013514,141410,false
제14대,IYD4143Y,문희상,013514,141410,false
제14대,1GW6444A,이우정,013514,141410,false
제14대,ACT1860R,조세형,013514,141410,false
제14대,YZD5879G,성무용,013513,141409,true
제14대,GVS3975B,안동선,013513,141409,false
제14대,WZK3380B,현경대,013512,141408,true
제14대,1KZ38436,강신옥,013512,141408,false
제14대,70X11962,박헌기,013512,141408,false
제14대,VLP8819K,변정일,013512,141408,false
제14대,NSW3570Z,정시채,013512,141408,false
제14대,RF233621,주양자,013511,141407,true
제14대,P5B5484Y,강선영,013511,141407,false
제14대,LGU7954E,정옥순,013511,141407,false
제14대,9TG26303,유수호,013502,141389,true
제14대,PT581709,함석재,013502,141389,false
제14대,QJ74422A,정상용,013484,141379,true
제14대,NSK21294,국종남,013484,141379,false
제14대,2LX5217V,박계동,013484,141379,false
제14대,ACT1860R,조세형,013484,141379,false
제14대,P1T31301,채영석,013484,141379,false
제14대,IAB1039R,황윤기,013483,141378,true
제14대,PB06312E,정장현,013481,141377,true
제14대,NSW3570Z,정시채,013480,141375,true
제14대,QJ74422A,정상용,013476,141373,true
제14대,NSK21294,국종남,013476,141373,false
제14대,HHM3642X,김진영,013476,141373,false
제14대,2LX5217V,박계동,013476,141373,false
제14대,Y009633J,배기선,013476,141373,false
제14대,ACT1860R,조세형,013476,141373,false
제14대,P1T31301,채영석,013476,141373,false
제14대,OKR39415,김원웅,013478,141372,true
제14대,7TU84910,한화갑,013473,141369,true
제14대,IL798843,김명규,013473,141369,false
제14대,IOI30449,김봉호,013473,141369,false
제14대,Y2W9921H,김영배,013473,141369,false
제14대,BTT7110U,김옥천,013473,141369,false
제14대,6VW96635,신순범,013473,141369,false
제14대,REX1877I,오탄,013473,141369,false
제14대,I9K4876K,이윤수,013473,141369,false
제14대,LIE6050F,최재승,013473,141369,false
제14대,E2Y5263C,정창현,013475,141368,true
제14대,AKX56559,조일현,013475,141368,false
제14대,W8L79935,이강두,013470,141364,true
제14대,ZB14984Z,이길재,013470,141364,false
제14대,E2Y5263C,정창현,013470,141364,false
제14대,JJ64316E,김상현,013466,141363,true
제14대,EBP9450V,강철선,013466,141363,false
제14대,NSK21294,국종남,013466,141363,false
제14대,C037592G,김동길,013466,141363,false
제14대,2XV6939Q,김말룡,013466,141363,false
제14대,BTT7110U,김옥천,013466,141363,false
제14대,3226963Z,김장곤,013466,141363,false
제14대,HIS36307,박세직,013466,141363,false
제14대,1O451032,박실,013466,141363,false
제14대,VYI2708Q,신기하,013466,141363,false
제14대,6VW96635,신순범,013466,141363,false
제14대,REX1877I,오탄,013466,141363,false
제14대,SDX64659,이종찬,013466,141363,false
제14대,JRH2218E,장기욱,013466,141363,false
제14대,HAP8679J,조순환,013466,141363,false
제14대,RF233621,주양자,013466,141363,false
제14대,JJ64316E,김상현,013468,141362,true
제14대,EBP9450V,강철선,013468,141362,false
제14대,NSK21294,국종남,013468,141362,false
제14대,C037592G,김동길,013468,141362,false
제14대,2XV6939Q,김말룡,013468,141362,false
제14대,BTT7110U,김옥천,013468,141362,false
제14대,3226963Z,김장곤,013468,141362,false
제14대,HIS36307,박세직,013468,141362,false
제14대,1O451032,박실,013468,141362,false
제14대,VYI2708Q,신기하,013468,141362,false
제14대,6VW96635,신순범,013468,141362,false
제14대,REX1877I,오탄,013468,141362,false
제14대,SDX64659,이종찬,013468,141362,false
제14대,JRH2218E,장기욱,013468,141362,false
제14대,HAP8679J,조순환,013468,141362,false
제14대,RF233621,주양자,013468,141362,false
제14대,JJ64316E,김상현,013465,141361,true
제14대,EBP9450V,강철선,013465,141361,false
제14대,NSK21294,국종남,013465,141361,false
제14대,C037592G,김동길,013465,141361,false
제14대,2XV6939Q,김말룡,013465,141361,false
제14대,BTT7110U,김옥천,013465,141361,false
제14대,3226963Z,김장곤,013465,141361,false
제14대,HIS36307,박세직,013465,141361,false
제14대,1O451032,박실,013465,141361,false
제14대,VYI2708Q,신기하,013465,141361,false
제14대,6VW96635,신순범,013465,141361,false
제14대,REX1877I,오탄,013465,141361,false
제14대,SDX64659,이종찬,013465,141361,false
제14대,JRH2218E,장기욱,013465,141361,false
제14대,HAP8679J,조순환,013465,141361,false
제14대,RF233621,주양자,013465,141361,false
제14대,JJ64316E,김상현,013467,141360,true
제14대,EBP9450V,강철선,013467,141360,false
제14대,NSK21294,국종남,013467,141360,false
제14대,C037592G,김동길,013467,141360,false
제14대,2XV6939Q,김말룡,013467,141360,false
제14대,BTT7110U,김옥천,013467,141360,false
제14대,3226963Z,김장곤,013467,141360,false
제14대,HIS36307,박세직,013467,141360,false
제14대,1O451032,박실,013467,141360,false
제14대,VYI2708Q,신기하,013467,141360,false
제14대,6VW96635,신순범,013467,141360,false
제14대,REX1877I,오탄,013467,141360,false
제14대,SDX64659,이종찬,013467,141360,false
제14대,JRH2218E,장기욱,013467,141360,false
제14대,HAP8679J,조순환,013467,141360,false
제14대,RF233621,주양자,013467,141360,false
제14대,TF57207F,박광태,013464,141359,false
제14대,KFV94013,박정훈,013464,141359,false
제14대,VYI2708Q,신기하,013464,141359,false
제14대,GVS3975B,안동선,013464,141359,false
제14대,RAU77180,조순승,013464,141359,false
제14대,31E2086R,장석화,013463,141358,true
제14대,ERX2058H,김충조,013463,141358,false
제14대,1O451032,박실,013463,141358,false
제14대,DY09919T,이원형,013463,141358,false
제14대,G7D4763A,장영달,013463,141358,false
제14대,2PO2218L,정균환,013463,141358,false
제14대,MHE1145A,박상천,013459,141356,true
제14대,MHE1145A,박상천,013459,141356,true
제14대,JJ64316E,김상현,013459,141356,false
제14대,0EI5067Y,한광옥,013459,141356,false
제14대,RUB28077,류종수,013456,141344,true
제14대,X9Z79695,김호일,013447,141343,true
제14대,HIT2733V,이영권,013447,141343,false
제14대,OKR39415,김원웅,013444,141339,true
제14대,1LA80851,박석무,013444,141339,false
제14대,XAT10663,홍기훈,013444,141339,false
제14대,JRH2218E,장기욱,013443,141337,true
제14대,KY92872I,강수림,013443,141337,false
제14대,MFE1178B,강창성,013443,141337,false
제14대,VW61947B,강희찬,013443,141337,false
제14대,2XV6939Q,김말룡,013443,141337,false
제14대,4RF2451S,김원기,013443,141337,false
제14대,OKR39415,김원웅,013443,141337,false
제14대,CAH1307G,김종완,013443,141337,false
제14대,2LX5217V,박계동,013443,141337,false
제14대,1LA80851,박석무,013443,141337,false
제14대,L7S1608E,박일,013443,141337,false
제14대,OS91397X,신진욱,013443,141337,false
제14대,NKK6370Y,양문희,013443,141337,false
제14대,6DG91769,원혜영,013443,141337,false
제14대,YE691699,이규택,013443,141337,false
