대수,국회의원코드,국회의원명,의안ID,의안번호,대표발의
제15대,NLM21386,조성준,016114,152569,true
제15대,MHE1145A,박상천,016108,152564,true
제15대,MHE1145A,박상천,016099,152557,true
제15대,3OA12807,권오을,016099,152557,false
제15대,WV87958Z,김동주,016099,152557,false
제15대,OQ09860C,김종호,016099,152557,false
제15대,I5T29903,김학원,016099,152557,false
제15대,E4F9377R,노기태,016099,152557,false
제15대,TF57207F,박광태,016099,152557,false
제15대,X7K8338U,박성범,016099,152557,false
제15대,ACK5474A,박주천,016099,152557,false
제15대,2GA5658A,백승홍,016099,152557,false
제15대,VLP8819K,변정일,016099,152557,false
제15대,OW53107J,설훈,016099,152557,false
제15대,AQZ80083,송훈석,016099,152557,false
제15대,E2O7996B,신기남,016099,152557,false
제15대,OX877045,신영국,016099,152557,false
제15대,GVS3975B,안동선,016099,152557,false
제15대,SKV1971K,유선호,016099,152557,false
제15대,YE691699,이규택,016099,152557,false
제15대,HOO4824R,이긍규,016099,152557,false
제15대,QBY2805Y,이부영,016099,152557,false
제15대,QG36879J,이사철,016099,152557,false
제15대,5W34729L,이상수,016099,152557,false
제15대,V1849655,정의화,016099,152557,false
제15대,AUU8827S,정형근,016099,152557,false
제15대,3SP89633,천정배,016099,152557,false
제15대,UX77102W,허남훈,016099,152557,false
제15대,MHE1145A,박상천,016100,152556,true
제15대,3OA12807,권오을,016100,152556,false
제15대,WV87958Z,김동주,016100,152556,false
제15대,OQ09860C,김종호,016100,152556,false
제15대,I5T29903,김학원,016100,152556,false
제15대,E4F9377R,노기태,016100,152556,false
제15대,TF57207F,박광태,016100,152556,false
제15대,X7K8338U,박성범,016100,152556,false
제15대,ACK5474A,박주천,016100,152556,false
제15대,2GA5658A,백승홍,016100,152556,false
제15대,VLP8819K,변정일,016100,152556,false
제15대,OW53107J,설훈,016100,152556,false
제15대,AQZ80083,송훈석,016100,152556,false
제15대,E2O7996B,신기남,016100,152556,false
제15대,OX877045,신영국,016100,152556,false
제15대,GVS3975B,안동선,016100,152556,false
