대수,국회의원코드,국회의원명,의안ID,의안번호,대표발의
제16대,T2K9554I,홍문종,027868,163170,true
제16대,CHV1403B,강인섭,027868,163170,false
제16대,LG63087O,권영세,027868,163170,false
제16대,GLY9970V,김황식,027868,163170,false
제16대,IB22144F,목요상,027868,163170,false
제16대,TOU48854,박상규,027868,163170,false
제16대,QKO6165V,박진,027868,163170,false
제16대,WZL8101U,박혁규,027868,163170,false
제16대,MIM8629D,양정규,027868,163170,false
제16대,KQE57592,오경훈,027868,163170,false
제16대,LB24097N,오세훈,027868,163170,false
제16대,X4S23695,윤경식,027868,163170,false
제16대,RLH4613I,윤한도,027868,163170,false
제16대,FLL5120Y,이근진,027868,163170,false
제16대,D7L1937J,이병석,027868,163170,false
제16대,NDH62175,이재오,027868,163170,false
제16대,8NC1161S,임인배,027868,163170,false
제16대,C6N4172N,전용원,027868,163170,false
제16대,NU724914,조정무,027868,163170,false
제16대,OE127272,허태열,027868,163170,false
제16대,KQE57592,오경훈,027864,163167,true
제16대,LG63087O,권영세,027864,163167,false
제16대,3OA12807,권오을,027864,163167,false
제16대,TWL5801D,김영춘,027864,163167,false
제16대,9U337234,김용학,027864,163167,false
제16대,IQX29457,김진재,027864,163167,false
제16대,KDL4367Q,김학송,027864,163167,false
제16대,5PS66776,맹형규,027864,163167,false
제16대,QKO6165V,박진,027864,163167,false
제16대,WZL8101U,박혁규,027864,163167,false
제16대,3349190D,서상섭,027864,163167,false
제16대,LB24097N,오세훈,027864,163167,false
제16대,1EL35837,원희룡,027864,163167,false
제16대,X4S23695,윤경식,027864,163167,false
제16대,YDT17694,윤여준,027864,163167,false
제16대,QBY2805Y,이부영,027864,163167,false
제16대,XHJ97828,이승철,027864,163167,false
제16대,0WH9705X,전재희,027864,163167,false
제16대,P303213F,정병국,027864,163167,false
제16대,V1849655,정의화,027864,163167,false
제16대,NQR1206Q,정진석,027864,163167,false
제16대,T2K9554I,홍문종,027864,163167,false
제16대,Q5X4506F,황우여,027864,163167,false
제16대,KQE57592,오경훈,027837,163149,true
제16대,KOC6603F,김광원,027837,163149,false
제16대,SX52964G,김명섭,027837,163149,false
제16대,GJC8715J,도종이,027837,163149,false
제16대,PK58741O,박시균,027837,163149,false
제16대,ZF959220,안경률,027837,163149,false
제16대,1EL35837,원희룡,027837,163149,false
제16대,Q3X5279D,윤두환,027837,163149,false
제16대,RLH4613I,윤한도,027837,163149,false
제16대,GBP60233,이용삼,027837,163149,false
제16대,RVD1966C,이해봉,027837,163149,false
제16대,KQE57592,오경훈,027836,163148,true
제16대,KOC6603F,김광원,027836,163148,false
제16대,SX52964G,김명섭,027836,163148,false
제16대,GJC8715J,도종이,027836,163148,false
제16대,PK58741O,박시균,027836,163148,false
제16대,ZF959220,안경률,027836,163148,false
제16대,1EL35837,원희룡,027836,163148,false
제16대,Q3X5279D,윤두환,027836,163148,false
제16대,RLH4613I,윤한도,027836,163148,false
제16대,GBP60233,이용삼,027836,163148,false
제16대,RVD1966C,이해봉,027836,163148,false
제16대,CYD5815E,정갑윤,027836,163148,false
제16대,NQR1206Q,정진석,027835,163147,true
제16대,PAQ11014,강창희,027835,163147,false
제16대,PAR7137B,김종필,027835,163147,false
제16대,I5T29903,김학원,027835,163147,false
제16대,A279211A,박승국,027835,163147,false
제16대,YE691699,이규택,027835,163147,false
제16대,A7577909,이원성,027835,163147,false
제16대,NDH62175,이재오,027835,163147,false
제16대,VHK3402G,정우택,027835,163147,false
제16대,RN65198P,최병국,027835,163147,false
제16대,LUY92654,한충수,027835,163147,false
제16대,NQR1206Q,정진석,027834,163146,true
