대수,국회의원코드,국회의원명,국회의원한자명,정당명,선거구명,발의수(전체),발의수(대표발의),발의수(공동발의),원안가결(전체),수정가결(전체),철회(전체),부결(전체),수정안반영폐기(전체),대안반영폐기(전체),폐기(전체),임기만료폐기(전체),회기불계속폐기(전체),기타(전체),원안가결(대표발의),수정가결(대표발의),철회(대표발의),부결(대표발의),수정안반영폐기(대표발의),대안반영폐기(대표발의),폐기(대표발의),임기만료폐기(대표발의),회기불계속폐기(대표발의),기타,원안가결(공동발의),수정가결(공동발의),철회(공동발의),부결(공동발의),수정안반영폐기(공동발의),대안반영폐기(공동발의),폐기(공동발의),임기만료폐기(공동발의),회기불계속폐기(공동발의),기타(공동발의)
제13대,EHX6431X,이학봉,李鶴捧,민주정의당,"경남 김해시,군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,7GJ2564V,최락도,崔洛道,평화민주당,전북 김제,14,6,8,1,1,2,0,0,3,1,6,0,0,0,1,0,0,0,3,0,2,0,0,1,0,2,0,0,0,1,4,0,0
제13대,CRH49829,오경의,吳景義,통일민주당,경북 안동시,3,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
제13대,6ZS6304Q,김중권,金重權,민주정의당,경북 울진,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,HIT2733V,이영권,李永權,평화민주당,전남 장흥군,8,0,8,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,0
제13대,IOI30449,김봉호,金琫鎬,평화민주당,"전남 해남,진도군",6,4,2,0,1,0,0,0,3,0,2,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0
제13대,XN15344S,김종기,金鍾基,민주정의당,,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
제13대,OX877045,신영국,申榮國,통일민주당,"경북 점촌,문경시",15,10,5,1,0,0,0,0,8,1,5,0,0,1,0,0,0,0,6,1,2,0,0,0,0,0,0,0,2,0,3,0,0
제13대,LO069688,신영순,申英順,민주정의당,,3,2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
제13대,2MK7856S,심기섭,沈起燮,민주정의당,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,K4Q81564,유기준,兪棋濬,통일민주당,경기 광주군,5,1,4,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0
제13대,CKS9642T,이경재,李敬載,평화민주당,서울 구로구을,20,2,18,0,0,3,0,0,11,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,10,6,0,0,0
제13대,A1819526,김정수,金正秀,통일민주당,부산 부산진구을,4,0,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
제13대,RA28140K,신하철,申河澈,통일민주당,경기 안양시을,4,0,4,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
제13대,EEC7465H,이춘구,李春九,민주정의당,충북 제천시,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,9U97658K,홍영기,洪英基,평화민주당,"전북 임실군,순창군",35,12,23,1,0,4,0,0,15,7,8,0,0,0,0,2,0,0,4,0,6,0,0,1,0,2,0,0,11,7,2,0,0
제13대,PAR7137B,김종필,金鍾泌,신민주공화당,충남 부여군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,N2V3369G,김우석,金佑錫,통일민주당,서울 송파구갑,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
제13대,0XM13788,박충순,朴忠淳,신민주공화당,충남 대전시서구,10,5,5,0,1,2,0,0,3,2,2,0,0,0,0,2,0,0,1,1,1,0,0,0,1,0,0,0,2,1,1,0,0
제13대,BRA1525S,손주항,孫周恒,평화민주당,전북 전주시을,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,TZQ65416,유준상,柳晙相,평화민주당,전남 보성군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,9VF7142D,이병희,李秉禧,신민주공화당,경기 수원시을,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,NUX49887,이한동,李漢東,민주정의당,경기 연천군포천군,3,2,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
제13대,U1P4713Y,황병우,黃昞禹,민주정의당,"경북 청송,영덕",2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
제13대,U629070R,고세진,高世鎭,무소속,제주 제주시,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
제13대,WOX9384I,박재규,朴載圭,통일민주당,"경남 진해,창원시",3,3,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
제13대,2XL9644Y,신상식,申相式,민주정의당,경남 밀양,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
제13대,RLG4231U,이상득,李相得,민주정의당,"경북 영일,울릉군",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
제13대,SX52964G,김명섭,金明燮,민주정의당,서울 영등포구을,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,2OK69779,류돈우,柳惇佑,민주정의당,경북 안동군,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
제13대,TT897193,박종태,朴鍾泰,평화민주당,광주 서구을,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
제13대,2081986U,이동진,李東鎭,민주정의당,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,J3Q5491L,김남,金楠,통일민주당,,7,2,5,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,3,0,0
제13대,U2584716,김근수,金瑾洙,민주정의당,"경북 상주시,군",5,3,2,3,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
제13대,IQX29457,김진재,金鎭載,민주정의당,부산 금정구,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
제13대,FW82028I,백찬기,白璨基,통일민주당,경남 마산시갑,6,0,6,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0
제13대,DCY93694,이종근,李鐘根,신민주공화당,충북 충주시중원,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
제13대,35I30124,강삼재,姜三載,통일민주당,경상남도 마산시회원구,10,5,5,1,0,0,0,0,1,5,3,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,2,2,0,0
제13대,3UG9639E,신철균,申喆均,신민주공화당,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,JNV4397B,옥만호,玉滿鎬,신민주공화당,,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
제13대,3QK4193V,이교성,李敎成,평화민주당,,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
제13대,UUT73651,정시봉,鄭始鳳,신민주공화당,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,EPZ3759Y,정웅,鄭雄,평화민주당,광주 북구,3,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
제13대,EUJ8925R,정종택,鄭宗澤,민주정의당,충북 청주시갑,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,VYI2708Q,신기하,辛基夏,평화민주당,광주 동구,3,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
제13대,BJG5829N,이협,李協,평화민주당,전북 이리시,3,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
제13대,87W5339H,심완구,沈完求,통일민주당,경남 울산시남구,5,1,4,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
제13대,YFN1661H,김병용,金柄龍,신민주공화당,경기 광명시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,33J43967,서상목,徐相穆,민주정의당,서울 강남구갑,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
제13대,4QJ8677M,이도선,李道先,민주정의당,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
제13대,1MY6092K,강영훈,姜英勳,민주정의당,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제13대,JMC44351,류승규,柳昇珪,통일민주당,강원 태백시,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
제13대,04D1245W,박병선,朴炳善,신민주공화당,충남 예산군,5,3,2,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0
제13대,REX1877I,오탄,吳탄,평화민주당,전북 전주시갑,14,1,13,0,0,2,0,0,3,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,9,0,0
제13대,HE94360B,이광노,李光魯,민주정의당,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
제13대,7Q05452E,이기택,李基澤,통일민주당,,3,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
