대수,국회의원코드,국회의원명,국회의원한자명,정당명,선거구명,발의수(전체),발의수(대표발의),발의수(공동발의),원안가결(전체),수정가결(전체),철회(전체),부결(전체),수정안반영폐기(전체),대안반영폐기(전체),폐기(전체),임기만료폐기(전체),회기불계속폐기(전체),기타(전체),원안가결(대표발의),수정가결(대표발의),철회(대표발의),부결(대표발의),수정안반영폐기(대표발의),대안반영폐기(대표발의),폐기(대표발의),임기만료폐기(대표발의),회기불계속폐기(대표발의),기타,원안가결(공동발의),수정가결(공동발의),철회(공동발의),부결(공동발의),수정안반영폐기(공동발의),대안반영폐기(공동발의),폐기(공동발의),임기만료폐기(공동발의),회기불계속폐기(공동발의),기타(공동발의)
제14대,PAQ11014,강창희,姜昌熙,무소속,대전 중구,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
제14대,7YV42587,김사성,金士檉,민주자유당,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제14대,S2C3781V,신계륜,申溪輪,민주당,서울특별시 성북구을,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
제14대,WFJ6020P,김덕룡,金德龍,민주자유당,서울특별시 서초구을,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제14대,M4L8058B,박구일,朴九溢,민주자유당,대구 수성구을,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제14대,DQ91254E,서호석,徐好石,민주당,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제14대,RF233621,주양자,朱良子,민주자유당,,16,8,8,2,3,0,0,0,4,0,7,0,0,1,3,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,6,0,0
제14대,REX1877I,오탄,吳탄,민주당,전북 전주시덕진구,23,0,23,1,0,2,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,19,0,0
제14대,62Z4390J,이상두,李相斗,민주당,경북 경주시,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
제14대,3IY62278,이원조,李源祚,민주자유당,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제14대,UWX81091,장영철,張永喆,민주자유당,경북 성주군칠곡군,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
제14대,WSO9079L,박태영,朴泰榮,민주당,"전남 담양,장성군",21,0,21,0,0,1,0,0,3,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,13,0,0
제14대,4Y54669I,서청원,徐淸源,민주자유당,서울 동작구갑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제14대,FM55372H,손승덕,孫承德,통일국민당,강원 춘천시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제14대,LJJ52334,송광호,宋光浩,통일국민당,충북 제천군단양군,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
제14대,BLO60262,정영훈,鄭泳薰,민주자유당,경기 하남시광주군,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
제14대,0EI5067Y,한광옥,韓光玉,민주당,서울 관악구갑,6,0,6,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0
제14대,NSK21294,국종남,鞠鍾男,민주당,,14,0,14,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0
제14대,OUK2820Z,권익현,權翊鉉,민주자유당,"경남 산청,함양",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제14대,KDB6892X,김덕규,金德圭,민주당,서울특별시 중랑구을,17,4,13,0,0,0,0,0,1,3,13,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,2,10,0,0
제14대,2XL9644Y,신상식,申相式,민주자유당,경남 밀양시밀양군,6,4,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0
제14대,6DG91769,원혜영,元惠榮,민주당,경기 부천시중구을,5,1,4,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0
