대수,국회의원코드,국회의원명,국회의원한자명,정당명,선거구명,발의수(전체),발의수(대표발의),발의수(공동발의),원안가결(전체),수정가결(전체),철회(전체),부결(전체),수정안반영폐기(전체),대안반영폐기(전체),폐기(전체),임기만료폐기(전체),회기불계속폐기(전체),기타(전체),원안가결(대표발의),수정가결(대표발의),철회(대표발의),부결(대표발의),수정안반영폐기(대표발의),대안반영폐기(대표발의),폐기(대표발의),임기만료폐기(대표발의),회기불계속폐기(대표발의),기타,원안가결(공동발의),수정가결(공동발의),철회(공동발의),부결(공동발의),수정안반영폐기(공동발의),대안반영폐기(공동발의),폐기(공동발의),임기만료폐기(공동발의),회기불계속폐기(공동발의),기타(공동발의)
제15대,YE691699,이규택,李揆澤,통합민주당,경기도 여주군,37,3,34,3,5,0,0,0,5,3,21,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,5,3,18,0,0
제15대,BPZ8472N,이원복,李源馥,신한국당,인천 남동구을,16,0,16,2,0,0,0,0,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,10,0,0
제15대,P1T31301,채영석,蔡映錫,새정치국민회의,전북 군산갑,25,1,24,0,1,1,0,0,5,1,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,1,16,0,0
제15대,O8Z3184P,천용택,千容宅,새정치국민회의,"전라남도 강진,완도군",52,6,46,0,0,0,0,0,16,4,32,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,14,4,28,0,0
제15대,IYE1069O,허화평,許和平,무소속,경북 포항시북구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제15대,O272385D,김찬진,金贊鎭,신한국당,,10,1,9,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,7,0,0
제15대,LN660200,서한샘,徐한샘,신한국당,인천 연수구,24,0,24,1,2,1,0,0,7,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,7,2,11,0,0
제15대,L8S7182S,서석재,徐錫宰,신한국당,부산 사하구갑,31,3,28,2,2,3,0,0,8,6,10,0,0,1,0,1,0,0,1,0,0,0,0,1,2,2,0,0,7,6,10,0,0
제15대,T1R43759,송현섭,宋鉉燮,새정치국민회의,,4,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0
제15대,I9K4876K,이윤수,李允洙,새정치국민회의,경기 성남시수정구,25,5,20,1,5,0,0,0,6,5,8,0,0,0,1,0,0,0,2,0,2,0,0,1,4,0,0,0,4,5,6,0,0
