대수,국회의원코드,국회의원명,국회의원한자명,정당명,선거구명,발의수(전체),발의수(대표발의),발의수(공동발의),원안가결(전체),수정가결(전체),철회(전체),부결(전체),수정안반영폐기(전체),대안반영폐기(전체),폐기(전체),임기만료폐기(전체),회기불계속폐기(전체),기타(전체),원안가결(대표발의),수정가결(대표발의),철회(대표발의),부결(대표발의),수정안반영폐기(대표발의),대안반영폐기(대표발의),폐기(대표발의),임기만료폐기(대표발의),회기불계속폐기(대표발의),기타,원안가결(공동발의),수정가결(공동발의),철회(공동발의),부결(공동발의),수정안반영폐기(공동발의),대안반영폐기(공동발의),폐기(공동발의),임기만료폐기(공동발의),회기불계속폐기(공동발의),기타(공동발의)
제16대,K4669042,권철현,權哲賢,한나라당,부산광역시 사상구,90,2,88,1,15,1,0,0,27,6,40,0,0,0,0,0,0,0,2,0,0,0,0,1,15,1,0,0,25,6,40,0,0
제16대,6776870M,박상희,朴相熙,새천년민주당,비례대표,125,4,121,5,26,2,0,0,42,7,43,0,0,0,0,0,0,0,2,0,2,0,0,5,26,2,0,0,40,7,41,0,0
제16대,H6T8617M,양승부,梁承富,새천년민주당,비례대표,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
제16대,HJI9845B,이인제,李仁濟,새천년민주당,"충남 논산,금산군",62,0,62,2,6,1,0,0,18,4,31,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,18,4,31,0,0
제16대,NDH62175,이재오,李在五,한나라당,서울특별시 은평구을,217,10,207,6,21,5,0,0,77,15,93,0,0,1,1,1,0,0,1,1,5,0,0,5,20,4,0,0,76,14,88,0,0
제16대,AO340526,강성구,姜成求,새천년민주당,경기도 오산시화성군,104,2,102,2,25,2,0,0,31,2,42,0,0,0,1,0,0,0,0,0,1,0,0,2,24,2,0,0,31,2,41,0,0
제16대,WJC7553A,권기술,權琪述,한나라당,울산광역시 울주군,371,9,362,11,43,4,0,0,107,27,179,0,0,0,0,0,0,0,5,0,4,0,0,11,43,4,0,0,102,27,175,0,0
제16대,YWI3350Y,김덕배,金德培,새천년민주당,경기도 고양시일산구을,91,7,84,0,22,2,1,0,27,1,38,0,0,0,2,0,0,0,1,0,4,0,0,0,20,2,1,0,26,1,34,0,0
제16대,Y2W9921H,김영배,金令培,새천년민주당,서울특별시 양천구을,83,0,83,2,13,4,0,0,29,7,28,0,0,0,0,0,0,0,0,0,0,0,0,2,13,4,0,0,29,7,28,0,0
제16대,KQE57592,오경훈,吳慶勳,한나라당,서울특별시 양천구을,51,3,48,1,6,0,0,0,5,3,36,0,0,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,5,3,33,0,0
