대수,국회의원코드,국회의원명,국회의원한자명,정당명,선거구명,발의수(전체),발의수(대표발의),발의수(공동발의),원안가결(전체),수정가결(전체),철회(전체),부결(전체),수정안반영폐기(전체),대안반영폐기(전체),폐기(전체),임기만료폐기(전체),회기불계속폐기(전체),기타(전체),원안가결(대표발의),수정가결(대표발의),철회(대표발의),부결(대표발의),수정안반영폐기(대표발의),대안반영폐기(대표발의),폐기(대표발의),임기만료폐기(대표발의),회기불계속폐기(대표발의),기타,원안가결(공동발의),수정가결(공동발의),철회(공동발의),부결(공동발의),수정안반영폐기(공동발의),대안반영폐기(공동발의),폐기(공동발의),임기만료폐기(공동발의),회기불계속폐기(공동발의),기타(공동발의)
제17대,ACS7139Z,안상수,安商守,한나라당,"경기 의왕,과천시",1178,92,1086,37,96,20,0,0,319,89,617,0,0,6,18,3,0,0,6,4,55,0,0,31,78,17,0,0,313,85,562,0,0
제17대,V0O5343U,우상호,禹相虎,열린우리당,서울특별시 서대문구갑,235,16,219,7,32,4,1,0,52,13,126,0,0,2,4,0,0,0,5,1,4,0,0,5,28,4,1,0,47,12,122,0,0
제17대,9ZP9014Q,이해찬,李海瓚,열린우리당,서울특별시 관악구을,4,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
제17대,2QE48823,장윤석,張倫碩,한나라당,경상북도 영주시,207,18,189,8,28,2,0,0,39,10,120,0,0,0,0,0,0,0,4,3,11,0,0,8,28,2,0,0,35,7,109,0,0
제17대,FJ03481D,최경환,崔炅煥,한나라당,"경상북도 경산시,청도군",331,15,316,10,39,5,0,0,81,30,166,0,0,1,1,0,0,0,7,1,5,0,0,9,38,5,0,0,74,29,161,0,0
제17대,H2X6452Y,김용갑,金容甲,한나라당,"경상남도 밀양시,창녕군",200,2,198,9,37,0,0,0,47,13,94,0,0,0,0,0,0,0,1,0,1,0,0,9,37,0,0,0,46,13,93,0,0
제17대,QKO6165V,박진,朴振,한나라당,서울특별시 종로구,143,5,138,6,27,3,0,0,25,8,74,0,0,0,0,0,0,0,0,0,5,0,0,6,27,3,0,0,25,8,69,0,0
제17대,EWR39555,주성영,朱盛英,한나라당,대구 동구갑,247,16,231,9,33,3,0,0,51,12,139,0,0,0,1,0,0,0,0,2,13,0,0,9,32,3,0,0,51,10,126,0,0
제17대,0Y39862U,최철국,崔喆國,열린우리당,경남 김해시을,298,13,285,8,53,5,0,0,94,16,122,0,0,1,3,0,0,0,3,0,6,0,0,7,50,5,0,0,91,16,116,0,0
제17대,4G45218X,심대평,沈大平,국민중심당,대전 서구을,17,1,16,1,2,0,0,0,5,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,4,0,9,0,0
제17대,G7D4763A,장영달,張永達,열린우리당,전북 전주시완산구갑,269,8,261,6,27,5,0,0,85,4,142,0,0,0,2,1,0,0,1,0,4,0,0,6,25,4,0,0,84,4,138,0,0
제17대,QZG38143,김춘진,金椿鎭,열린우리당,"전라북도 고창,부안군",374,36,338,13,44,3,0,0,117,13,184,0,0,1,2,1,0,0,12,1,19,0,0,12,42,2,0,0,105,12,165,0,0
제17대,ZKU1175F,노현송,盧顯松,열린우리당,서울특별시 강서구을,655,15,640,22,80,13,0,0,205,38,297,0,0,1,3,0,0,0,4,1,6,0,0,21,77,13,0,0,201,37,291,0,0
