대수,국회의원코드,국회의원명,국회의원한자명,정당명,선거구명,발의수(전체),발의수(대표발의),발의수(공동발의),원안가결(전체),수정가결(전체),철회(전체),부결(전체),수정안반영폐기(전체),대안반영폐기(전체),폐기(전체),임기만료폐기(전체),회기불계속폐기(전체),기타(전체),원안가결(대표발의),수정가결(대표발의),철회(대표발의),부결(대표발의),수정안반영폐기(대표발의),대안반영폐기(대표발의),폐기(대표발의),임기만료폐기(대표발의),회기불계속폐기(대표발의),기타,원안가결(공동발의),수정가결(공동발의),철회(공동발의),부결(공동발의),수정안반영폐기(공동발의),대안반영폐기(공동발의),폐기(공동발의),임기만료폐기(공동발의),회기불계속폐기(공동발의),기타(공동발의)
제18대,ERX2058H,김충조,金忠兆,통합민주당,비례대표,389,14,375,3,19,6,0,0,135,36,190,0,0,1,1,0,0,0,4,1,7,0,0,2,18,6,0,0,131,35,183,0,0
제18대,8BY8620U,이용희,李龍熙,자유선진당,충북 보은군옥천군영동군,315,7,308,6,11,7,0,0,76,16,199,0,0,0,1,0,0,0,3,0,3,0,0,6,10,7,0,0,73,16,196,0,0
제18대,IQN7588X,이은재,李恩宰,한나라당,비례대표,416,43,373,8,14,7,0,0,107,23,257,0,0,0,1,0,0,0,13,3,26,0,0,8,13,7,0,0,94,20,231,0,0
제18대,K8Q3437F,최규식,崔奎植,통합민주당,서울 강북구을,332,33,299,1,2,1,0,0,99,20,209,0,0,0,1,0,0,0,10,3,19,0,0,1,1,1,0,0,89,17,190,0,0
제18대,LBC8144B,김영선,金映宣,한나라당,경남 창원시의창구,185,52,133,1,16,5,1,0,44,20,98,0,0,0,4,0,0,0,8,6,34,0,0,1,12,5,1,0,36,14,64,0,0
제18대,ZA54991S,안민석,安敏錫,통합민주당,경기 오산시,1058,35,1023,120,16,7,1,0,283,166,465,0,0,0,0,0,1,0,10,0,24,0,0,120,16,7,0,0,273,166,441,0,0
제18대,LZQ7860L,이성헌,李性憲,한나라당,서울 서대문구갑,868,98,770,10,42,3,1,0,277,78,457,0,0,2,2,0,0,0,32,12,50,0,0,8,40,3,1,0,245,66,407,0,0
제18대,IUZ2177I,정수성,鄭壽星,무소속,경북 경주시,232,15,217,3,11,3,0,0,66,12,137,0,0,0,1,0,0,0,4,1,9,0,0,3,10,3,0,0,62,11,128,0,0
제18대,9YV1627V,강운태,姜雲太,무소속,광주 남구,179,28,151,1,4,4,0,0,65,17,88,0,0,0,1,2,0,0,11,3,11,0,0,1,3,2,0,0,54,14,77,0,0
제18대,R724713H,김재윤,金才允,통합민주당,제주 서귀포시,1316,70,1246,5,38,18,1,0,361,96,797,0,0,0,3,4,0,0,13,3,47,0,0,5,35,14,1,0,348,93,750,0,0
제18대,34Y32105,임해규,林亥圭,한나라당,경기 부천시원미구갑,338,30,308,3,21,10,1,0,103,21,179,0,0,0,2,0,0,0,13,1,14,0,0,3,19,10,1,0,90,20,165,0,0
제18대,OSM57783,정옥임,鄭玉任,한나라당,비례대표,394,49,345,3,11,5,0,0,93,36,246,0,0,0,0,0,0,0,8,4,37,0,0,3,11,5,0,0,85,32,209,0,0
제18대,TZD17894,원유철,元裕哲,한나라당,경기 평택시갑,364,27,337,4,19,11,0,0,120,33,177,0,0,0,0,0,0,0,7,2,18,0,0,4,19,11,0,0,113,31,159,0,0
제18대,H0G8409H,김충환,金忠環,한나라당,서울 강동구갑,386,40,346,6,18,6,0,0,144,28,184,0,0,3,0,0,0,0,16,3,18,0,0,3,18,6,0,0,128,25,166,0,0
제18대,LXP1076C,김태원,金兌原,한나라당,경기 고양시덕양구을,1067,97,970,14,40,13,0,0,345,96,559,0,0,1,3,0,0,0,36,10,47,0,0,13,37,13,0,0,309,86,512,0,0
제18대,1FK74463,류근찬,柳根粲,자유선진당,충남 보령시서천군,494,21,473,6,18,11,0,0,152,26,281,0,0,0,0,0,0,0,9,2,10,0,0,6,18,11,0,0,143,24,271,0,0
제18대,JVR5259R,이애주,李愛珠,한나라당,비례대표,423,35,388,3,25,6,0,0,138,16,235,0,0,1,1,0,0,0,15,0,18,0,0,2,24,6,0,0,123,16,217,0,0
