대수,국회의원코드,국회의원명,국회의원한자명,정당명,선거구명,발의수(전체),발의수(대표발의),발의수(공동발의),원안가결(전체),수정가결(전체),철회(전체),부결(전체),수정안반영폐기(전체),대안반영폐기(전체),폐기(전체),임기만료폐기(전체),회기불계속폐기(전체),기타(전체),원안가결(대표발의),수정가결(대표발의),철회(대표발의),부결(대표발의),수정안반영폐기(대표발의),대안반영폐기(대표발의),폐기(대표발의),임기만료폐기(대표발의),회기불계속폐기(대표발의),기타,원안가결(공동발의),수정가결(공동발의),철회(공동발의),부결(공동발의),수정안반영폐기(공동발의),대안반영폐기(공동발의),폐기(공동발의),임기만료폐기(공동발의),회기불계속폐기(공동발의),기타(공동발의)
제19대,IDV9108J,진영,陳永,새누리당,서울 용산구,149,15,134,5,42,0,0,0,28,6,68,0,0,0,1,0,0,0,5,1,8,0,0,5,41,0,0,0,23,5,60,0,0
제19대,P2N4585G,김승남,金承南,민주통합당,전남 고흥군보성군,1128,59,1069,25,57,8,0,0,267,18,753,0,0,0,5,1,0,0,16,0,37,0,0,25,52,7,0,0,251,18,716,0,0
제19대,A3H7195R,박완주,朴完柱,민주통합당,충남 천안시을,517,60,457,12,23,6,1,0,142,9,324,0,0,1,0,0,0,0,17,1,41,0,0,11,23,6,1,0,125,8,283,0,0
제19대,MSY7784L,윤상현,尹相現,새누리당,인천 남구을,266,35,231,3,59,7,0,0,42,9,146,0,0,0,2,1,0,0,8,2,22,0,0,3,57,6,0,0,34,7,124,0,0
제19대,M0A1658U,윤호중,尹昊重,민주통합당,경기 구리시,771,43,728,6,26,6,0,0,207,45,481,0,0,0,0,2,0,0,11,10,20,0,0,6,26,4,0,0,196,35,461,0,0
제19대,VHK3402G,정우택,鄭宇澤,새누리당,충북 청주시상당구,371,37,334,3,48,7,0,0,99,15,199,0,0,0,0,0,0,0,7,4,26,0,0,3,48,7,0,0,92,11,173,0,0
제19대,VNF2868Z,조원진,趙源震,새누리당,대구 달서구병,422,38,384,11,72,5,0,0,110,12,212,0,0,2,3,1,0,0,9,1,22,0,0,9,69,4,0,0,101,11,190,0,0
제19대,68P7228G,진선미,陳善美,민주통합당,비례대표,691,72,619,10,20,6,0,0,170,8,477,0,0,0,2,2,0,0,17,0,51,0,0,10,18,4,0,0,153,8,426,0,0
제19대,TKJ4800F,서영교,徐瑛敎,민주통합당,서울 중랑구갑,831,105,726,15,40,8,0,0,175,10,583,0,0,0,3,1,0,0,18,1,82,0,0,15,37,7,0,0,157,9,501,0,0
제19대,3ZR4438W,이인영,李仁榮,민주통합당,서울 구로구갑,615,38,577,5,29,7,0,0,131,9,434,0,0,0,3,0,0,0,6,1,28,0,0,5,26,7,0,0,125,8,406,0,0
제19대,NS06841K,이철우,李喆雨,새누리당,경북 김천시,618,49,569,15,73,15,1,0,152,10,352,0,0,0,4,0,0,0,10,1,34,0,0,15,69,15,1,0,142,9,318,0,0
제19대,JQA21112,한기호,韓起鎬,새누리당,강원 철원군화천군양구군인제군,495,35,460,10,61,9,1,0,128,12,274,0,0,0,2,0,0,0,11,0,22,0,0,10,59,9,1,0,117,12,252,0,0
제19대,PAB29217,김성찬,金盛贊,새누리당,경남 창원시진해구,721,42,679,12,69,7,0,0,194,17,422,0,0,3,4,1,0,0,7,1,26,0,0,9,65,6,0,0,187,16,396,0,0
제19대,RYL1698T,문병호,文炳浩,민주통합당,인천 부평구갑,620,35,585,6,31,10,0,0,157,12,404,0,0,0,1,3,0,0,3,1,27,0,0,6,30,7,0,0,154,11,377,0,0
제19대,S824682L,박홍근,朴洪根,민주통합당,서울 중랑구을,1740,83,1657,47,66,13,0,0,465,32,1117,0,0,1,3,0,0,0,10,3,66,0,0,46,63,13,0,0,455,29,1051,0,0
제19대,BM63269Y,전해철,全海澈,민주통합당,경기 안산시상록구갑,568,46,522,10,31,3,0,0,140,6,378,0,0,0,3,0,0,0,17,0,26,0,0,10,28,3,0,0,123,6,352,0,0
제19대,XPP2564T,한정애,韓貞愛,민주통합당,비례대표,692,52,640,17,31,4,0,0,167,5,468,0,0,1,2,0,0,0,15,0,34,0,0,16,29,4,0,0,152,5,434,0,0
제19대,3O66539X,김성곤,金星坤,민주통합당,전남 여수시갑,2294,62,2232,58,108,33,0,0,614,42,1439,0,0,2,2,0,0,0,16,3,39,0,0,56,106,33,0,0,598,39,1400,0,0
제19대,Q9H5708M,김진표,金振杓,민주통합당,경기 수원시정,128,15,113,4,4,1,0,0,47,2,70,0,0,1,1,0,0,0,3,0,10,0,0,3,3,1,0,0,44,2,60,0,0
제19대,F363102R,양창영,楊昶榮,새누리당,비례대표,352,36,316,3,10,3,0,0,71,7,258,0,0,0,0,0,0,0,8,2,26,0,0,3,10,3,0,0,63,5,232,0,0
제19대,O7R5461J,윤후덕,尹厚德,민주통합당,경기 파주시갑,1052,49,1003,13,52,9,0,0,297,14,667,0,0,0,0,0,0,0,18,1,30,0,0,13,52,9,0,0,279,13,637,0,0
제19대,SAA7309Q,이한성,李翰成,새누리당,경북 문경시예천군,1914,53,1861,20,117,20,1,0,524,52,1180,0,0,0,1,1,0,0,13,1,37,0,0,20,116,19,1,0,511,51,1143,0,0
제19대,V8I36226,장병완,張秉浣,민주통합당,광주 남구,696,73,623,31,24,7,0,0,184,16,434,0,0,1,3,0,0,0,12,1,56,0,0,30,21,7,0,0,172,15,378,0,0
제19대,IRQ5741O,나성린,羅城麟,새누리당,부산 부산진구갑,454,60,394,7,60,2,0,0,133,35,217,0,0,0,2,0,0,0,25,18,15,0,0,7,58,2,0,0,108,17,202,0,0
제19대,4CH4157I,송영근,宋泳勤,새누리당,비례대표,1037,73,964,23,98,18,0,0,285,28,585,0,0,0,5,3,0,0,15,4,46,0,0,23,93,15,0,0,270,24,539,0,0
제19대,ZRF3039U,윤재옥,尹在玉,새누리당,대구 달서구을,498,42,456,12,59,6,0,0,124,11,286,0,0,2,1,0,0,0,12,1,26,0,0,10,58,6,0,0,112,10,260,0,0
제19대,WCA3290J,이완구,李完九,새누리당,충남 부여군청양군,115,4,111,7,4,1,0,0,37,0,66,0,0,0,0,0,0,0,2,0,2,0,0,7,4,1,0,0,35,0,64,0,0
제19대,HJI9845B,이인제,李仁濟,자유선진당,충남 논산시계룡시금산군,349,9,340,14,54,2,1,0,92,7,179,0,0,0,1,0,0,0,2,0,6,0,0,14,53,2,1,0,90,7,173,0,0
제19대,XGQ9659R,이한구,李漢久,새누리당,대구 수성구갑,152,60,92,3,35,2,0,0,22,8,82,0,0,3,33,1,0,0,5,2,16,0,0,0,2,1,0,0,17,6,66,0,0
제19대,X7I4680R,김기현,金起炫,새누리당,울산 남구을,125,16,109,2,40,2,0,0,32,5,44,0,0,0,1,1,0,0,3,0,11,0,0,2,39,1,0,0,29,5,33,0,0
제19대,BN49469V,신경민,辛京珉,민주통합당,서울 영등포구을,919,60,859,18,37,12,0,0,212,13,627,0,0,3,0,1,0,0,6,2,48,0,0,15,37,11,0,0,206,11,579,0,0
제19대,V822582Y,이목희,李穆熙,민주통합당,서울 금천구,812,47,765,18,27,4,0,0,243,9,511,0,0,0,0,1,0,0,17,1,28,0,0,18,27,3,0,0,226,8,483,0,0
제19대,9ZP9014Q,이해찬,李海瓚,민주통합당,세종특별자치시,228,8,220,1,9,2,0,0,55,2,159,0,0,0,0,0,0,0,3,0,5,0,0,1,9,2,0,0,52,2,154,0,0
제19대,0827740Q,노웅래,盧雄來,민주통합당,서울 마포구갑,573,71,502,8,17,5,0,0,116,11,416,0,0,1,1,2,0,0,20,0,47,0,0,7,16,3,0,0,96,11,369,0,0
제19대,AIP8367M,배기운,裵奇雲,민주통합당,전남 나주시화순군,2652,92,2560,90,144,28,0,0,741,40,1609,0,0,18,8,1,0,0,19,3,43,0,0,72,136,27,0,0,722,37,1566,0,0
제19대,4Y54669I,서청원,徐淸源,새누리당,경기 화성시갑,133,6,127,2,11,1,0,0,33,2,84,0,0,0,1,0,0,0,0,0,5,0,0,2,10,1,0,0,33,2,79,0,0
제19대,QT984813,신학용,辛鶴用,민주통합당,인천 계양구갑,362,40,322,12,13,10,0,0,106,11,210,0,0,2,2,0,0,0,12,0,24,0,0,10,11,10,0,0,94,11,186,0,0
제19대,TZD17894,원유철,元裕哲,새누리당,경기 평택시갑,278,16,262,7,52,5,1,0,53,4,156,0,0,0,2,1,0,0,3,0,10,0,0,7,50,4,1,0,50,4,146,0,0
제19대,ETV7396M,윤명희,尹明熙,새누리당,비례대표,1124,146,978,19,101,17,0,0,300,18,669,0,0,6,15,1,0,0,35,2,87,0,0,13,86,16,0,0,265,16,582,0,0
제19대,ZBL82850,이종훈,李宗勳,새누리당,경기 성남시분당구갑,442,21,421,16,65,17,0,0,121,11,212,0,0,0,1,1,0,0,8,0,11,0,0,16,64,16,0,0,113,11,201,0,0
제19대,YSL5919D,장정은,張廷銀,새누리당,비례대표,53,5,48,0,0,0,0,0,4,0,49,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,44,0,0
제19대,SPF4589S,장하나,張하나,민주통합당,비례대표,1375,69,1306,19,52,14,0,0,367,20,903,0,0,0,2,0,0,0,9,0,58,0,0,19,50,14,0,0,358,20,845,0,0
제19대,SIL7886Y,조현룡,趙顯龍,새누리당,경남 의령군함안군합천군,339,23,316,9,60,1,0,0,107,12,150,0,0,0,3,0,0,0,12,0,8,0,0,9,57,1,0,0,95,12,142,0,0
