대수,국회의원코드,국회의원명,국회의원한자명,정당명,선거구명,발의수(전체),발의수(대표발의),발의수(공동발의),원안가결(전체),수정가결(전체),철회(전체),부결(전체),수정안반영폐기(전체),대안반영폐기(전체),폐기(전체),임기만료폐기(전체),회기불계속폐기(전체),기타(전체),원안가결(대표발의),수정가결(대표발의),철회(대표발의),부결(대표발의),수정안반영폐기(대표발의),대안반영폐기(대표발의),폐기(대표발의),임기만료폐기(대표발의),회기불계속폐기(대표발의),기타,원안가결(공동발의),수정가결(공동발의),철회(공동발의),부결(공동발의),수정안반영폐기(공동발의),대안반영폐기(공동발의),폐기(공동발의),임기만료폐기(공동발의),회기불계속폐기(공동발의),기타(공동발의)
제20대,6N28669V,서형수,徐炯洙,더불어민주당,경남 양산시을,1120,68,1052,18,46,6,0,1,264,4,781,0,0,1,2,0,0,0,8,0,57,0,0,17,44,6,0,1,256,4,724,0,0
제20대,I5V5327I,유민봉,庾敏鳳,새누리당,비례대표,525,27,498,8,25,3,0,1,112,3,373,0,0,0,3,0,0,0,5,0,19,0,0,8,22,3,0,1,107,3,354,0,0
제20대,6YT83269,이명수,李明洙,새누리당,충남 아산시갑,1267,215,1052,46,55,11,0,1,355,11,788,0,0,17,5,2,0,0,73,2,116,0,0,29,50,9,0,1,282,9,672,0,0
제20대,WDR7061Y,이종걸,李鍾杰,더불어민주당,경기 안양시만안구,1194,59,1135,20,39,11,0,6,191,9,918,0,0,1,0,1,0,0,4,0,53,0,0,19,39,10,0,6,187,9,865,0,0
제20대,AFQ26679,주광덕,朱光德,새누리당,경기 남양주시병,437,50,387,10,21,3,0,0,87,2,314,0,0,2,3,0,0,0,7,0,38,0,0,8,18,3,0,0,80,2,276,0,0
제20대,BQS2021C,김성태,金聖泰,새누리당,서울 강서구을,418,34,384,7,25,8,0,0,125,3,250,0,0,0,1,0,0,0,13,1,19,0,0,7,24,8,0,0,112,2,231,0,0
제20대,SLW27496,나경원,羅景垣,새누리당,서울 동작구을,320,42,278,11,19,2,0,0,63,1,224,0,0,3,0,0,0,0,7,0,32,0,0,8,19,2,0,0,56,1,192,0,0
제20대,9ZP9014Q,이해찬,李海瓚,무소속,세종특별자치시,273,10,263,6,11,4,0,0,52,4,196,0,0,0,2,0,0,0,2,1,5,0,0,6,9,4,0,0,50,3,191,0,0
제20대,1WE5693J,김태년,金太年,더불어민주당,경기 성남시수정구,468,30,438,12,21,8,0,1,109,3,314,0,0,0,1,0,0,0,8,0,21,0,0,12,20,8,0,1,101,3,293,0,0
제20대,FJK3396E,맹성규,孟聖奎,더불어민주당,인천 남동구갑,479,21,458,8,15,7,0,0,73,0,376,0,0,0,0,0,0,0,3,0,18,0,0,8,15,7,0,0,70,0,358,0,0
제20대,UQ282145,이재정,李在汀,더불어민주당,비례대표,858,81,777,16,40,15,0,1,224,5,557,0,0,1,2,0,0,0,15,1,62,0,0,15,38,15,0,1,209,4,495,0,0
제20대,VHK3402G,정우택,鄭宇澤,새누리당,충북 청주시상당구,299,31,268,7,15,7,0,0,59,2,209,0,0,0,0,0,0,0,7,0,24,0,0,7,15,7,0,0,52,2,185,0,0
제20대,GDN7894V,채이배,蔡利培,국민의당,비례대표,966,128,838,14,32,5,0,5,205,4,701,0,0,3,4,2,0,2,20,0,97,0,0,11,28,3,0,3,185,4,604,0,0
제20대,5DR6334X,윤일규,尹一逵,더불어민주당,충남 천안시병,593,64,529,14,30,10,0,0,137,1,401,0,0,1,6,0,0,0,15,0,42,0,0,13,24,10,0,0,122,1,359,0,0
제20대,9FL71418,이규희,李揆熙,더불어민주당,충남 천안시갑,481,15,466,4,17,5,0,0,88,0,367,0,0,0,1,0,0,0,2,0,12,0,0,4,16,5,0,0,86,0,355,0,0
제20대,8BF5855P,박지원,朴智元,국민의당,전남 해남군완도군진도군,671,16,655,28,19,8,0,2,117,3,494,0,0,0,1,0,0,0,1,0,14,0,0,28,18,8,0,2,116,3,480,0,0
제20대,GX38539O,유동수,柳東秀,더불어민주당,인천 계양구갑,1449,78,1371,20,57,12,1,1,283,5,1070,0,0,2,1,0,0,0,12,0,63,0,0,18,56,12,1,1,271,5,1007,0,0
제20대,N4R2421C,박덕흠,朴德欽,새누리당,충북 보은군옥천군영동군괴산군,1832,63,1769,49,85,16,0,1,466,7,1208,0,0,2,5,0,0,0,16,0,40,0,0,47,80,16,0,1,450,7,1168,0,0
제20대,EUR98126,박맹우,朴孟雨,새누리당,울산 남구을,721,57,664,15,29,8,1,1,195,5,467,0,0,0,2,1,0,0,19,0,35,0,0,15,27,7,1,1,176,5,432,0,0
제20대,QTW6852F,이태규,李泰珪,국민의당,비례대표,345,50,295,5,12,6,0,2,67,1,252,0,0,0,1,1,0,0,8,1,39,0,0,5,11,5,0,2,59,0,213,0,0
제20대,K5F2023J,이학영,李學永,더불어민주당,경기 군포시을,1316,146,1170,34,36,17,0,2,293,6,928,0,0,2,2,3,0,0,7,0,132,0,0,32,34,14,0,2,286,6,796,0,0
제20대,GW55008L,홍의락,洪宜洛,무소속,대구 북구을,617,73,544,20,27,6,0,0,143,4,417,0,0,2,1,1,0,0,18,1,50,0,0,18,26,5,0,0,125,3,367,0,0
제20대,XQ98168F,강길부,姜吉夫,무소속,울산 울주군,313,21,292,7,10,0,0,0,72,1,223,0,0,1,0,0,0,0,5,0,15,0,0,6,10,0,0,0,67,1,208,0,0
제20대,7AN97172,이정현,李貞鉉,새누리당,전남 순천시,188,13,175,9,8,1,0,3,53,2,112,0,0,1,0,0,0,0,4,0,8,0,0,8,8,1,0,3,49,2,104,0,0
제20대,LDY9563L,윤상직,尹相直,새누리당,부산 기장군,425,46,379,8,14,4,0,0,80,3,316,0,0,0,1,0,0,0,13,0,32,0,0,8,13,4,0,0,67,3,284,0,0
제20대,JWW6081H,이상돈,李相敦,국민의당,비례대표,234,20,214,2,11,1,0,1,74,4,141,0,0,0,1,0,0,0,2,0,17,0,0,2,10,1,0,1,72,4,124,0,0
제20대,TZP9391O,이철규,李喆圭,무소속,강원 동해시삼척시,483,44,439,10,20,2,0,0,105,1,345,0,0,1,1,0,0,0,5,0,37,0,0,9,19,2,0,0,100,1,308,0,0
제20대,CJX51868,정종섭,鄭宗燮,새누리당,대구 동구갑,310,29,281,10,8,3,0,0,68,0,221,0,0,1,1,0,0,0,7,0,20,0,0,9,7,3,0,0,61,0,201,0,0
제20대,9WQ7845Z,강효상,姜孝祥,새누리당,비례대표,389,74,315,22,15,6,0,0,79,2,265,0,0,1,0,0,0,0,14,1,58,0,0,21,15,6,0,0,65,1,207,0,0
