대수,국회의원코드,국회의원명,국회의원한자명,정당명,선거구명,발의수(전체),발의수(대표발의),발의수(공동발의),원안가결(전체),수정가결(전체),철회(전체),부결(전체),수정안반영폐기(전체),대안반영폐기(전체),폐기(전체),임기만료폐기(전체),회기불계속폐기(전체),기타(전체),원안가결(대표발의),수정가결(대표발의),철회(대표발의),부결(대표발의),수정안반영폐기(대표발의),대안반영폐기(대표발의),폐기(대표발의),임기만료폐기(대표발의),회기불계속폐기(대표발의),기타,원안가결(공동발의),수정가결(공동발의),철회(공동발의),부결(공동발의),수정안반영폐기(공동발의),대안반영폐기(공동발의),폐기(공동발의),임기만료폐기(공동발의),회기불계속폐기(공동발의),기타(공동발의)
제21대,6RD62559,박정하,朴正河,국민의힘,강원 원주시갑,342,18,324,5,30,2,0,9,84,0,212,0,0,0,3,0,0,0,4,0,11,0,0,5,27,2,0,9,80,0,201,0,0
제21대,9S151177,이탄희,李誕熙,더불어민주당,경기 용인시정,785,65,720,10,33,11,0,2,209,8,512,0,0,0,0,3,0,0,13,1,48,0,0,10,33,8,0,2,196,7,464,0,0
제21대,6V37131U,고용진,高榕진,더불어민주당,서울 노원구갑,893,64,829,7,39,8,0,24,256,3,556,0,0,2,2,1,0,8,27,0,24,0,0,5,37,7,0,16,229,3,532,0,0
제21대,0W194007,김영주,金榮珠,더불어민주당,서울 영등포구갑,657,107,550,6,41,8,0,2,155,0,445,0,0,1,3,2,0,0,26,0,75,0,0,5,38,6,0,2,129,0,370,0,0
제21대,0827740Q,노웅래,盧雄來,더불어민주당,서울 마포구갑,928,108,820,11,62,8,0,7,241,4,595,0,0,1,9,1,0,0,34,0,63,0,0,10,53,7,0,7,207,4,532,0,0
제21대,TKJ4800F,서영교,徐瑛敎,더불어민주당,서울 중랑구갑,1479,170,1309,20,55,28,0,8,403,3,962,0,0,2,4,1,0,2,85,0,76,0,0,18,51,27,0,6,318,3,886,0,0
제21대,KNM3215T,윤미향,尹美香,더불어시민당,비례대표,1452,115,1337,18,55,7,0,1,358,7,1006,0,0,0,2,0,0,0,16,0,97,0,0,18,53,7,0,1,342,7,909,0,0
제21대,3C23171A,진성준,陳聲準,더불어민주당,서울 강서구을,961,82,879,26,51,5,0,3,229,0,647,0,0,0,4,0,0,0,18,0,60,0,0,26,47,5,0,3,211,0,587,0,0
제21대,6FS10566,강성희,姜聖熙,진보당,전북 전주시을,91,11,80,0,1,0,0,0,7,0,83,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,7,0,72,0,0
제21대,04T3751T,남인순,南仁順,더불어민주당,서울 송파구병,1158,83,1075,22,72,7,0,0,293,0,764,0,0,0,8,0,0,0,33,0,42,0,0,22,64,7,0,0,260,0,722,0,0
제21대,BLC8630L,박병석,朴炳錫,더불어민주당,대전 서구갑,27,7,20,0,1,1,0,0,4,0,21,0,0,0,0,0,0,0,2,0,5,0,0,0,1,1,0,0,2,0,16,0,0
제21대,ZDR63255,소병훈,蘇秉勳,더불어민주당,경기 광주시갑,1007,108,899,10,69,16,0,2,219,4,687,0,0,0,8,4,0,0,19,1,76,0,0,10,61,12,0,2,200,3,611,0,0
제21대,KUO3574J,양기대,梁基大,더불어민주당,경기 광명시을,825,52,773,6,34,6,0,10,237,3,529,0,0,0,1,0,0,0,5,0,46,0,0,6,33,6,0,10,232,3,483,0,0
